Credit,Age,Income,Credit_Card,Education,Car_Loan
Bad,37,middle,more than 5,university,more than 2
Bad,22,middle,more than 5,university,more than 2
Bad,30,low,more than 5,high school,more than 2
Bad,33,low,more than 5,university,none or 1
Bad,37,middle,more than 5,university,more than 2
Bad,40,middle,more than 5,university,more than 2
Bad,32,middle,more than 5,university,more than 2
Bad,35,low,more than 5,high school,more than 2
Bad,32,low,more than 5,high school,more than 2
Bad,25,middle,more than 5,university,more than 2
Bad,23,low,more than 5,university,more than 2
Bad,46,low,more than 5,high school,more than 2
Bad,30,middle,more than 5,high school,more than 2
Bad,30,low,more than 5,university,none or 1
Bad,40,low,more than 5,high school,more than 2
Bad,40,low,more than 5,university,more than 2
Bad,35,low,more than 5,university,more than 2
Bad,36,middle,more than 5,university,more than 2
Bad,36,middle,more than 5,university,more than 2
Bad,27,high,more than 5,university,more than 2
Bad,22,low,more than 5,university,more than 2
Bad,30,middle,more than 5,high school,more than 2
Bad,23,low,more than 5,university,more than 2
Bad,44,middle,more than 5,university,more than 2
Bad,21,middle,more than 5,high school,more than 2
Bad,28,middle,more than 5,high school,more than 2
Bad,30,middle,more than 5,university,more than 2
Bad,31,middle,more than 5,high school,more than 2
Bad,26,middle,more than 5,university,more than 2
Bad,41,low,more than 5,university,none or 1
Bad,21,low,more than 5,university,more than 2
Bad,23,low,more than 5,high school,more than 2
Bad,33,middle,more than 5,high school,more than 2
Bad,34,middle,more than 5,high school,more than 2
Bad,28,high,more than 5,high school,none or 1
Bad,21,middle,more than 5,university,more than 2
Bad,29,middle,more than 5,university,more than 2
Bad,21,middle,more than 5,high school,more than 2
Bad,21,middle,more than 5,high school,none or 1
Bad,25,low,more than 5,high school,more than 2
Bad,48,middle,more than 5,university,more than 2
Bad,25,middle,more than 5,high school,more than 2
Bad,31,high,more than 5,high school,more than 2
Bad,21,low,more than 5,high school,more than 2
Bad,22,middle,more than 5,university,more than 2
Bad,33,middle,more than 5,high school,more than 2
Bad,32,middle,more than 5,high school,more than 2
Bad,23,middle,more than 5,university,more than 2
Bad,36,middle,more than 5,high school,more than 2
Bad,25,middle,less than 4,university,none or 1
Bad,38,low,more than 5,high school,more than 2
Bad,31,middle,more than 5,high school,more than 2
Bad,33,low,more than 5,high school,more than 2
